id,checkpoint,description,lecturer,videourl,objective,Question,Answer,position,mediafire,tags,lesson,topic,seab,subject
305,Devaluation Of Currency To Correct A BOP Deficit,"Assuming PED of both exports and imports are elastic, how does devaluating a currency affect import expenditure/export revenue?",openlectures,http://youtu.be/fiqH5n7Jt1Q,Explain how exchange rate policy is used to ensure balance of payments,What happens to the BOP when you devalue a currency?,"If the PED for exports and imports are both elastic, this will lead to an improvement in the BOP.",1,http://www.mediafire.com/?m2rlkosmlm27m4y,,Exchange Rate and The Balance of Payments,Exchange Rate Policy,How The Macroeconomy Works,Economics
306,Marshall-Lerner Condition,Defines M-L condition and explains how it alters the impact a fall in the external value of a currency has on a countryâ€™s BOP,openlectures,http://youtu.be/wz0nD6zf5PA,Explain the importance of the M-L condition in assessing the impact of exchange rate policy on BOP,What if the PED for exports and imports are not both elastic? When can we use exchange rate policy to improve the BOP?,"So long as the Marshall-Lerner condition holds, a devaluation of oneâ€™s currency will lead to an improvement in the BOP.",2,http://www.mediafire.com/?zgkh6p7gar94o1v,,Exchange Rate and The Balance of Payments,Exchange Rate Policy,How The Macroeconomy Works,Economics
307,Limitations Of Using Exchange Rate Policy For BOP,What are the problems specific to using exchange rate to correct BOP disequilibrium?,openlectures,http://youtu.be/1sGIcLzUQlQ,Understand J-curve effect and other evaluations for the effectiveness of using exchange rate policy for BOP goals,What are the problems specific to using exchange rate to correct BOP disequilibrium?,The problems are mainly the J-curve effect in the short run.,3,http://www.mediafire.com/?jd46xa38u22kant,,Exchange Rate and The Balance of Payments,Exchange Rate Policy,How The Macroeconomy Works,Economics
308,Objectives Of Exchange Rate Policy In Singapore,Describes how maintaining price stability is the main goal Singapore hopes to achieve using exchange rate policy,openlectures,http://youtu.be/YPlFclJYEvc,Understand the main goals Singapore targets through exchange rate policy,What is the main aim of the governmentâ€™s exchange rate policy? ,Exchange rate policy in Singapore is mainly used to achieve price stability.,1,http://www.mediafire.com/?iafixrfxn44e5l5,,Exchange Rate Policy in Singapore,Exchange Rate Policy,How The Macroeconomy Works,Economics
309,Exchange Rate Policy Instead Of Monetary Policy,"Explains how the nature of our economy (small & open), as well as the Open Economy Trilemma, limits us to exchange rate policy.",openlectures,http://youtu.be/JcrqTU76iAk,Understand why Singapore uses this special form of monetary policy,Why do we use exchange rate policy instead of traditional monetary policy?,This is due to the Open Economy Trilemma and other factors that make exchange rate policy more effective than traditional monetary policy.,2,http://www.mediafire.com/?hnddx2o23ck8w8q,,Exchange Rate Policy in Singapore,Exchange Rate Policy,How The Macroeconomy Works,Economics
310,S$NEER (No It's Not Money Sneering At You),What exactly is this awful sounding thing and why do we use it? ,openlectures,http://youtu.be/JgyE6eAKGwM,Describe how the MAS uses S$NEER to manage the exchange rate in Singapore,What exactly is this awful sounding thing and why do we use it?,"The value of the S$ against this trade-weighted basket of currencies, with the effects of inflation not eliminated, is known as S$NEER.",3,http://www.mediafire.com/?y17dyf7k4iwj9be,,Exchange Rate Policy in Singapore,Exchange Rate Policy,How The Macroeconomy Works,Economics
311,Role Of Exchange Rate Policy In Managing Inflation,This part explains how exactly Singapore uses exchange rate policy to achieve its main goal of low and stable inflation,openlectures,http://youtu.be/K5Kqa04Ou0Q,Describe how exchange rate affects inflation through import and export prices.,How is exchange rate used to stabilise the GPL?,Exchange rate policy affects the GPL through two mechanisms that work through import and export prices respectively. ,4,http://www.mediafire.com/?69hv10hcqunh0zy,,Exchange Rate Policy in Singapore,Exchange Rate Policy,How The Macroeconomy Works,Economics
312,Limitations Of Exchange Rate Policy,"Describes time lags, conflict with other macroeconomic goals and availability of reserves as the main limitations of exchange rate policy. Also explains how monetary policy does not work alone using the Tinbergen-Theil principle.",openlectures,http://youtu.be/9VqaC03zvSE,Understand the main limitations of exchange rate policy,Is exchange rate policy perfect?,"No, nothing is. Ex/r policy is limited by its time lag issues, the potential to conflict with other marcoeconomic goals, as well as the size of a nationâ€™s foreign reserves.",5,http://www.mediafire.com/?cr39spntw0axgi8,,Exchange Rate Policy in Singapore,Exchange Rate Policy,How The Macroeconomy Works,Economics
313,Another Government Policy?,To distinguish supply side policy as a separate class of government policy,openlectures,http://youtu.be/V21-nhKwZj4,Define supply side policy and describe why governments choose to implement supply side policy,Is government expenditure on infrastructure (e.g. roads) considered supply side policy?,"Government expenditure is traditionally classified as fiscal policy, although some forms of government expenditure (e.g. on infrastructure like roads) have secondary supply side effects. Do note that not all government expenditure has supply side effects",1,http://www.mediafire.com/?nmmk5rwy5al72tb,,Product Market-Oriented Policies,Supply Side Policies,How The Macroeconomy Works,Economics
314,Product Markets,Policies within this category are pro-competition policies,openlectures,http://youtu.be/DpVEp3RxF8M,Describe and explain the characteristics of policies for product markets,Why is competition amongst firms desirable?,Reduces productive and allocative inefficiency,2,http://www.mediafire.com/?iw8om82a6cbbimz,,Product Market-Oriented Policies,Supply Side Policies,How The Macroeconomy Works,Economics
315,Private Unlimited,Privatisation takes advantage of the profit maximising motive to reduce inefficiency,openlectures,http://youtu.be/eSv6bALz4mw,Explain what privatisation is and how it works as a supply-side policy,Why advantage does the private sector have over the public sector?,Less inefficiency,3,http://www.mediafire.com/?hgdtmpom78d7k77,,Product Market-Oriented Policies,Supply Side Policies,How The Macroeconomy Works,Economics
316,Deregulation And Competition Policies,"Deregulation makes it easier for firms to set up business, while competition policies prevent firms from gaining excessive monopoly power",openlectures,http://youtu.be/DVWjFRgvS0s,Explain what deregulation and competition policies are and how they work as supply-side policies,How does deregulation and competition work?,They work by breaking down competition!,4,http://www.mediafire.com/?8e9745xl7r7j5yz,,Product Market-Oriented Policies,Supply Side Policies,How The Macroeconomy Works,Economics
317,Set-up SMEs,SMEs are firms with a relatively small annual revenue and employee size,openlectures,http://youtu.be/wGkRVDa6UwA,Explain what SMEs are and how it works as a supply-side policy,Why are SMEs important?,"They drive innovation. By allowing more firms to join the economy, the potential of the economy grows.",5,http://www.mediafire.com/?rqik27evpq9lm35,,Product Market-Oriented Policies,Supply Side Policies,How The Macroeconomy Works,Economics
318,Labour Markets,Policies within this category aim to keep wages reasonable and provide incentives for people to work,openlectures,http://youtu.be/CHExs71vu5E,Describe and explain the characteristics of policies for the labour market ,How will the quantity and quality of the labour force affect aggregate supply?,"Quantity increases productive capacity (i.e. more factor of production), quality reduces cost of production",1,http://www.mediafire.com/?224fuebcp8onvbb,,Labour Market-Oriented Policies,Supply Side Policies,How The Macroeconomy Works,Economics
319,Reducing The Power Of Trade Unions,Trade unions represent groups within the labour force (e.g. by industry),openlectures,http://youtu.be/RKHpCMs2OYU,Explain what trade unions are and how reducing their power works as a supply-side policy,What is the motive of trade unions?,Protect the interests of workers in the union by pushing for wage increments and better working conditions,2,http://www.mediafire.com/?fah6vgbiyaiqb7c,,Labour Market-Oriented Policies,Supply Side Policies,How The Macroeconomy Works,Economics
320,Income Policy,Income policy helps to keep income in line with labour productivity,openlectures,http://youtu.be/KdHYM-x91sQ,Explain what income policy is and how it works as a supply-side policy,Why is it important to keep wages affordable for employers?,To prevent excessive lay-offs of workers,3,http://www.mediafire.com/?b3fqpfpq86muryt,,Labour Market-Oriented Policies,Supply Side Policies,How The Macroeconomy Works,Economics
321,Tax Reform,Tax reform policy increases the incentive for work effort,openlectures,http://youtu.be/1RF9WB_KybE,Explain what tax reform policy is and how it works as a supply-side policy,Why will lowering tax be effective in attracting firms and foreign talent?,Think why people grumble every time taxes are raised!,4,http://www.mediafire.com/?nbafdu2f3wdc2cx,,Labour Market-Oriented Policies,Supply Side Policies,How The Macroeconomy Works,Economics
322,Cutting Social And Welfare Programmes,Cutting social and welfare programmes will force more people into the workforce,openlectures,http://youtu.be/lO5EtyrJ-44,Explain what social and welfare programmes are and how reducing their them works as a supply-side policy,Why will reducing welfare encourage people to work?,Think about what happened to people in welfare states in Europe!,5,http://www.mediafire.com/?h74uk4a9nt398iz,,Labour Market-Oriented Policies,Supply Side Policies,How The Macroeconomy Works,Economics
323,Difference From Market Oriented Policies,Interventionist measures are needed when market forces are unlikely to allocate resources appropriately,openlectures,http://youtu.be/K50N7b1WwNU,Distinguish between market oriented and interventionist policies,What situations would market oriented policies be less effective than interventionist measures?,When there are externalities,1,http://www.mediafire.com/?jj7hcn8c4t661k9,,Interventionist,Supply Side Policies,How The Macroeconomy Works,Economics
324,Manpower Policies,Education and skills training increases the quality of the workforce,openlectures,http://youtu.be/kDiDKOW2em8,Explain what education and skills training are and how they work as a supply-side policy,Why is the quality of the workforce important?,To make up for the low labour supply and to move up the value added production chain,2,http://www.mediafire.com/?oh65qfuyn6ma361,,Interventionist,Supply Side Policies,How The Macroeconomy Works,Economics
325,Return To The Motherland,Nationalisation provides government funding for investment in strategic industries,openlectures,http://youtu.be/4bEX3aUAK6U,Explain what nationalisation is and how it works as a supply-side policy,Which industries will nationalisation be preferred over privatisation?,Industries which require heavy investment or industries providing essential services,3,http://www.mediafire.com/?6u13n8cp83jg61d,,Interventionist,Supply Side Policies,How The Macroeconomy Works,Economics
326,More Science,R&D promotes technological advancement which improves labour productivity,openlectures,http://youtu.be/GSeTgJFdHnc,Explain what R&D is and how providing grants for it works as a supply-side policy,Why is there a need to provide grants for R&D?,R&D can be expensive with uncertain results (i.e. may not yield new technology),4,http://www.mediafire.com/?q103xs7bfhr3t02,,Interventionist,Supply Side Policies,How The Macroeconomy Works,Economics
327,Effects On Economy,Supply side policies can affect the 4 macroaims of an economy,openlectures,http://youtu.be/pr_Qy9Qw51s,Describe the effects of supply side policies on the economy,What is the main advantage of supply-side policies over demand management policies?,Conflict of macroeconomic aims,1,http://www.mediafire.com/?3tqsphx8uqad55o,,The Aftermath,Supply Side Policies,How The Macroeconomy Works,Economics
328,Limitations,"Like all government policies, there are limits as to what supply side policies can achieve",openlectures,http://youtu.be/GuoYSCXyjjw,Explain the limitations of supply side policies,Why is it impractical to use supply-side policies all the time?,Think what is needed for actual growth and also the time involved,2,http://www.mediafire.com/?1hy5b7epc79c61p,,The Aftermath,Supply Side Policies,How The Macroeconomy Works,Economics
329,It's A Small World After All,"Here you will find out what globalisation really means in economics, beyond catchphrases like â€œThe World is Flatâ€ù.",openlectures,http://youtu.be/81JAl36quQg,Define Globalisation,What are the 3 main flows across country borders that increase due to globalisation? ,"1) Trade, 2)Labour and 3) Investment (or Capital)",1,http://www.mediafire.com/?cjucr44sh8ps4m1,,Introduction to Globalisation,Globalisation,International Economics,Economics
330,Factors Leading To Globalisation,"How to account for the trend towards globalisation, as defined in the previous checkpoint? Letâ€™s find out.",openlectures,http://youtu.be/prykATOVXp4,Explore some of the factors that led to globalisation,What do you think are the 3 most important reasons for globalisation in the second half of the 20th century?,"They are those factors we covered in 1.2: Shift in ideology, Awareness of the gains from trade and Technological progress.",2,http://www.mediafire.com/?8zaid0xncohfl31,,Introduction to Globalisation,Globalisation,International Economics,Economics
331,Extension On Reasons,"You didnâ€™t seriously think that all phenomena under the umbrella called globalisation could be explained by those 3 reasons in the previous checkpoint, did you? Right, knew you were better than that.",openlectures,http://youtu.be/ckUqTh4N1co,Learn how to answer slightly different questions on the trend towards globalisation,How do you answer questions on the reasons for globalisation?,"By assessing the particular context of the question and coming up with reasonable points, supported by economic framework.",3,http://www.mediafire.com/?1g4x0pz7h1fyd50,,Introduction to Globalisation,Globalisation,International Economics,Economics
332,Big Goals,Can you explain the impact of globalisation in the systematic way? Here we examine some of the yardsticks we should use.,openlectures,http://youtu.be/L49xysM4RmQ,Assess the impact of globalisation in terms of the 4 macroeconomic aims,What kind of unemployment can globalisation cause?,"In particular, structural unemployment. (Cyclical unemployment, owing to world business cycles also plausibleâ€”though not as specific to the context of globalisation)",1,http://www.mediafire.com/?4llas7i1avr5p9q,,Impact of Globalisation,Globalisation,International Economics,Economics
333,Small Goals,Globalisation has microeconomic repercussions too.,openlectures,http://youtu.be/c8fBqC8lEMc,"Assess the impact of globalisation in terms of the microeconomic aims: efficiency, equity.",Do consumers benefits from globalisation?,"Generally, the answer is yes, due to lower prices, greater variety and improved quality.",2,http://www.mediafire.com/?j5p5vnymuvb2pur,,Impact of Globalisation,Globalisation,International Economics,Economics
334,Standard Of Living,Standard of living is an important yardstick in evaluating the costs and benefits of globalisation.,openlectures,http://youtu.be/-g7-9r3pEzY,Assess the impact of globalisation in terms of material and non-material SoL.,How does globalisation cause income gap?,Wages in export sectors rise faster relative to non-export sectors. Foreign competition for low-skilled jobs drives wages down.,3,http://www.mediafire.com/?27uan6tl3daf5zp,,Impact of Globalisation,Globalisation,International Economics,Economics
335,Singapore,You have heard it many times: â€œSingapore is a small open economy.â€ù What does it really mean in the context of globalisation? ,openlectures,http://youtu.be/pRu8cF2jiOk,Develop specific insights on globalisation from Singaporeâ€™s point of view. ,Singapore can experience good rates of economic growth without globalisation. True or false?,"â€œFalseâ€ù is the general consensus, not only among local economists but also politiciansâ€_",1,http://www.mediafire.com/?bskbufxl72q68dv,,Evaluating Different Countries,Globalisation,International Economics,Economics
336,Other Countries,Different countries experience globalisation differently depending on their economic situations and governmental policies. Letâ€™s gain some insight on this.,openlectures,http://youtu.be/tZFWKYEBDOo,Understand that different countries experience globalisation differently depending on their economic situations and governmental policies.,Globalisation causes developing countries with weak infrastructure to experience deflation. True or false?,False.,2,http://www.mediafire.com/?bj9lp2b12unj3fp,,Evaluating Different Countries,Globalisation,International Economics,Economics
337,Tit For Tat,What is free trade all about and how does it fit into globalisation?,Hu Fangda,http://youtu.be/UUV0dbr5lTM,Define free trade and differentiate from the broader concept of globalisation,Define free trade.,International trade happens when an utility maximising consumer in one country buys a good or a service from a profit maximising producer in another.,1,http://www.mediafire.com/?u1ayvnqdwjc1yi9,"openlectures,a-level,economics,trade,globalisation",Why We Trade,International Trade,International Economics,Economics
338,Enablers Of Trade,The factors that have both enabled and encouraged a surge in world trade,Hu Fangda,http://youtu.be/wUb2A7YvPuU,Understand and outline the vital factors that have led to a rise in world trade volume,Outline the key factors that have enabled and encouraged free trade with reference to examples,"Technological advance (e.g containerisation), rising affluence, political developments (e.g. FTAs)",2,http://www.mediafire.com/?wmff6j8ufcfpj75,"openlectures,a-level,economics,trade,globalisation",Why We Trade,International Trade,International Economics,Economics
339,Absolutely Comparative?,"A brief explanation of the sources of CA or AA, in relation to Adam Smithâ€™s theory of specialisation",Hu Fangda,http://youtu.be/dy59QKbJpOk,Define Absolute Advantage and Comparative Advantage and differentiate between the two,Explain the relation of AA and CA to Adam Smithâ€™s theory of labour specialisation,Free trade exploits Adam Smithâ€™s theory of specialisation - the country that can make a good cheaper makes that good and thus leads to an allocation of scarce resources that maximises the output derived - hence allocative efficiency,3,http://www.mediafire.com/?dfp53793eg2svbl,"openlectures,a-level,economics,trade,globalisation",Why We Trade,International Trade,International Economics,Economics
340,Introducing The 2 Country 2 Good Model,Assumptions of the 2C2G and its strengths and weaknesses.,Hu Fangda,http://youtu.be/fOpdjx6nV_M,Describe and understand the assumptions of the 2 Country 2 Good model,Outline the assumptions of AA and CA as illustrated with the 2C2G model,"1. There are no transport costs or any other barriers to trade
2. There are constant returns to scale
3. Equal factor endowments
4. There is perfect intranational factor mobility
5. There is perfect international factor immobility
6. The world consists of two countries making two goods only

",4,http://www.mediafire.com/?sr7lecifz56rmpk,"openlectures,a-level,economics,trade,globalisation",Why We Trade,International Trade,International Economics,Economics
341,Absolute Advantage,Definition of AA with a table showing a named example using the 2C2G,Hu Fangda,http://youtu.be/Iny_2QR6zvg,Explain and define Absolute Advantage using numerical examples,Use an example to illustrate mutually beneficial trade based on AA,Refer to lecture for the table,5,http://www.mediafire.com/?aj3akjx9i45u60r,"openlectures,a-level,economics,trade,globalisation",Why We Trade,International Trade,International Economics,Economics
342,Comparative Advantage,Definition of CA with a table showing a named example using the 2C2G to illustrate mutually beneficial trade,Hu Fangda,http://youtu.be/Z5xHjGD3XtE,Explain and define Comparative Advantage using numerical examples,Use an example to illustrate and elaborate on mutually beneficial trade based on CA,Refer to lecture for the table - remember the employ only partial specialisation in your examples,6,http://www.mediafire.com/?hrv99rwka4u7c2d,"openlectures,a-level,economics,trade,globalisation",Why We Trade,International Trade,International Economics,Economics
343,The PPC And Trade,Rehash the concepts of the PPC and Consumptions Possibilities Curve with a numerical derivation of the diagram showing CPC outside PPC with trade ,Hu Fangda,http://youtu.be/SuOLsib0y7k,Show via a labelled diagram how trade enables consumption outside the PPC ,"With the aid of a diagram and figures when appropriate, illustrate, analyse and evaluate how trade enables consumption beyond the PPC and the limitations of this model","Refer to checkpoint for the diagrams and explanations. Limitations: due to the diminishing marginal rate of substitution, the PPC is like to be bowed-out rather than straight. Also transport costs and other trade barriers may prohibit some trades",1,http://www.mediafire.com/?p1jbnx4135ep890,"openlectures,a-level,economics,trade,globalisation",The Winners and Losers,International Trade,International Economics,Economics
344,Other Benefits Of Trade,Simple micro and macro effects of freer trade,Hu Fangda,http://youtu.be/mmCmnM1o62E,Outline and evaluate the other economic benefits of free trade at both the macro and micro levels with a link to efficiency concepts in economics,Explain and evaluate the benefits of trade at both the macroeconomic and microeconomic levels â€“ taking care to touch on the microeconomic goal of equity,"Cheaper raw materials and dampens cost-push inflation, exposes domestic monopolies to competiton to reduce economic inefficiency (e.g. of the UK motorbike market), export-led booms for LDCs who export and greater intranational and international equity of both wealth and income via the factor prize equalisation theorem ",2,http://www.mediafire.com/?6hb0ijb02yhusro,"openlectures,a-level,economics,trade,globalisation",The Winners and Losers,International Trade,International Economics,Economics
345,Terms Of Trade,Formula for TOT and how various factors can either raise of lower it â€“ and what these changes mean for states,Hu Fangda,http://youtu.be/NZLw7yN1mU0,Define and derive the TOT while evaluating what these figures mean in differing contexts,State the formula for the derivation of the Terms of Trade,Terms of Trade= (Export Price Index)/(Import Price Index) Ã—100,3,http://www.mediafire.com/?ccg3ll6dtp3sxq1,"openlectures,a-level,economics,trade,globalisation",The Winners and Losers,International Trade,International Economics,Economics
346,Introduction To Protectionism,Various forms of protection (tariff and non-tariff) with a diagram showing the deadweight welfare losses of a tariff or quota,Hu Fangda,http://youtu.be/opi-92dtI5A,Define protectionism in it various forms and show on a diagram the welfare losses of a simple tariff or quota,"With the aid of any appropriate diagrams, illustrate the welfare effects of a simple tariff barrier, taking care to comment on the effects on all of the following: tariff revenue, producer and consumer surplus.","Use the diagram to show the gain in producer surplus (benefits accuring to domestic, protected firms) at the expense of a loss of consumer surplus (diffuse costs accuring to consumers who pay higher prices for a limited variety of inferior goods)",4,http://www.mediafire.com/?rapldqdww05g5g1,"openlectures,a-level,economics,trade,globalisation",The Winners and Losers,International Trade,International Economics,Economics
347,Why Protect? (Part I),Outlines of common arguments and counter-arguments for protectionism,Hu Fangda,http://youtu.be/lG9Sm0jV5OU,Evaluate the common justifications for protectionism,"With references to the assumptions that CA theory is based upon, explain and critically evaluate the justifications for protectionism in any form using economic theory","Explain and evaluate the following: Senile industry argument and structural unemployment, infant industry arguments, economies of scale, strategic trade policy, inequity of trade gains and worsening TOT for LDCs, emergency measure during recessions, human rights and negative externalities",5,http://www.mediafire.com/?2eidjfkc3y93auo,"openlectures,a-level,economics,trade,globalisation",The Winners and Losers,International Trade,International Economics,Economics
348,Why Protect? (Part II),Outlines of common arguments and counter-arguments for protectionism,Hu Fangda,http://youtu.be/gY2VE6IZdPo,Evaluate the common justifications for protectionism,"With references to the assumptions that CA theory is based upon, explain and critically evaluate the justifications for protectionism in any form using economic theory","Explain and evaluate the following: Senile industry argument and structural unemployment, infant industry arguments, economies of scale, strategic trade policy, inequity of trade gains and worsening TOT for LDCs, emergency measure during recessions, human rights and negative externalities",6,,"openlectures,a-level,economics,trade,globalisation",The Winners and Losers,International Trade,International Economics,Economics
349,Game Theory And Protection,A Prisonerâ€™s Dilemma Matrix to show why countries still protect in spite of the crystal clear benefits of a world with free trade,Hu Fangda,http://youtu.be/Vj-3Wt0sFOs,Use Game Theory to illustrate protectionism,"Using an appropriate payoff matrix, show and explain how the dominant strategy exists for countries to protect in spite of clear welfare gains of free trade",Refer to lecture for the Prisoner's Dilemma matrix. Both the minimax and the maximax strategy is to protect,7,http://www.mediafire.com/?0gsdjprgtp1y6to,"openlectures,a-level,economics,trade,globalisation",The Winners and Losers,International Trade,International Economics,Economics
350,Closing Thoughts On Protectionism,Critical analysis and evaluation of the effects and desirability of protection,Hu Fangda,http://youtu.be/lDp64gJEi98,Summarise and evaluate the general effects of protection,"Sum up and weigh, on balance, the merits of the common justifications for protection

",Protectionism is a second-best solution with concentrated gains and diffuse costs - a fallacy of aggregation and a second-best solution. ,8,http://www.mediafire.com/?22eooqwnfm5on8m,"openlectures,a-level,economics,trade,globalisation",The Winners and Losers,International Trade,International Economics,Economics
351,The Iowa Car Crop Model,An alternative view â€“ the Iowa Car Crop model â€“ that draws an analogy between trade and technology,Hu Fangda,http://youtu.be/u45IawdnbZc,Use technological advance as an analogy to explain the risks and benefits of free trade,How is technology like trade?,"The benefits of free trade â€“ cheaper, better and more varied goods â€“ can be brought about by technology as well. Similarly, like free trade, technology can destroy jobs: ",9,http://www.mediafire.com/?mort1zf0mfk061b,"openlectures,a-level,economics,trade,globalisation",The Winners and Losers,International Trade,International Economics,Economics
352,Introduction To New Trade Theory,Basic outline of the shortfalls of Ricardian theory and the fields of study for NTT,Hu Fangda,http://youtu.be/_emFB9psmf8,Explain how NTT differs from Ricardian theory,What is the main implication of the New Trade Theory?,NTT attempts to better explain abnormalities in new empirical data - like IIT through theories that counter and target the rigid assumptions of Ricardian theory,1,http://www.mediafire.com/?z5k7ns46l8azeus,"openlectures,a-level,economics,trade,globalisation",Post-Ricardian Trade Theories,International Trade,International Economics,Economics
353,Intra-industry Trade,Paul Krugmanâ€™s work on how scale economies and differing consumer tastes leads to much IIT,Hu Fangda,http://youtu.be/D-PBeIipuWI,Explain the origins of IIT,Why would Intra-Industry Trade occur?,Differing tastes and preferences of consumers with Krugman's â€œaccidents of historyâ€ù and economies of scale,2,http://www.mediafire.com/?rfkn8tvacq9jasx,"openlectures,a-level,economics,trade,globalisation",Post-Ricardian Trade Theories,International Trade,International Economics,Economics
354,Gravity Model ,The Gravity Model formula and its implications,Hu Fangda,http://youtu.be/c_q0SDenTko,Derive and explain the Gravity Model of trade,Outline the determinants of the gravity model of trade,The volume of trade is directly proportional to the GDPs of the trading countries and inversely proportional to their distance to one another,3,http://www.mediafire.com/?85p4trliyn30r3h,"openlectures,a-level,economics,trade,globalisation",Post-Ricardian Trade Theories,International Trade,International Economics,Economics
355,Dynamic CA,Shows how CA shifts due to due to capital flows and how it can benefit LDCs,Hu Fangda,http://youtu.be/cLapUwymNHc,Examine how kaleidoscopic CA leads to shifting CA over time,"Outline the theory and stages of Kaleidoscopic CA, while explaining its origins with references to freedom of movement of capital factors of productions across borders","New Product Stage, Maturing Product Stage and Standardised Product Stage. Such shifting CA is only possible because capital goods and knowledge are free to move across borders",4,http://www.mediafire.com/?ya0bo9elmkb9eio,"openlectures,a-level,economics,trade,globalisation",Post-Ricardian Trade Theories,International Trade,International Economics,Economics
356,Competitive Advantage,Michael Porterâ€™s Diamond to show different sources of CA,Hu Fangda,http://youtu.be/hwI1GLGV7z0,Outline the sources of CA other than factor endowments,"With or without the aid of a diagram and named examples, outline the determinants of competitive advantage","Factor Conditions, Firm Strategy, Structure and Rivalry, Related and Supporting Industries and Demand Conditions. Any and all of the four can be influenced either by Chance or Government",5,http://www.mediafire.com/?3cnh3vshbbe5577,"openlectures,a-level,economics,trade,globalisation",Post-Ricardian Trade Theories,International Trade,International Economics,Economics
357,Singaporeâ€™s Trade Pattern,A series of tables showing key extrude trade statistics for Singapore in 2011,Hu Fangda,http://youtu.be/mmOVuicQDmY,Outline the components of Singaporeâ€™s exports and imports with an understanding of the countryâ€™s biggest trading partners and ratified FTAs,Outline the top 5 export destinations or regions of Singapore,"EU, China, USA, Hong Kong SAR, Malaysia in descending order of export receipts and based on 2011 data",1,http://www.mediafire.com/?gxusd9t85aciaut,"openlectures,a-level,economics,trade,globalisation",Trade Policy,International Trade,International Economics,Economics
358,Different Types Of Trade Zones And Agreements,"Definitions of an FTA, a CU, a CM and an EU",Hu Fangda,http://youtu.be/j0X2dLA6Ijg,"Differentiate between an FTA, a Customs Union, a Common Market, an Economic Union and a Currency union ",What's the main difference between a Free Trade Area and Common Market,"An FTA only guarantees the freedom of movement of goods and services only. In a CM, goods are free to move between states in addition to capital, labour and knowledge.",2,http://www.mediafire.com/?zikwi8wh3a7o2cc,"openlectures,a-level,economics,trade,globalisation",Trade Policy,International Trade,International Economics,Economics
359,Economic Effects Of An FTA,Diagrams to show the concept of trade creation/expansion vs. trade diversion,Hu Fangda,http://youtu.be/dummyvar10,Explain and evaluate the net welfare effects of FTAs,"Using diagrams when appropriate, evaluate on balance the net welfare effects of an FTA with reference to the concepts of trade creation, trade expansion and trade diversion while outlining the possible reasons for trade diversion to exceed trade creation or vice versa","Diagrams in lecture. Trade creation is new trade generated by the removal of tariff barriers and consumers switching to lower cost producers within the FTA. Trade expansion is the welfare gains resulting for an increase in quantity demanded of the good brought about due to the lowered price. Trade diversion happens when trade shifts from a non-FTA member, lowest-cost producer to an FTA member that is not the lowest-cost producer. When the FTA price significantly deviates from the cheapest price, we expect trade diversion to exceed creation and thus a net welfare loss. ",3,,,Trade Policy,International Trade,International Economics,Economics
360,Kinematics,Kinematics describes motion of a body when a force is applied to it. Learn more about Kinematics in this lesson.,openlectures,http://youtu.be/zL3Z0ceKp1Y,Know what is kinematics and what entails in this topic.,What is kinematics?,Note the relationship between force and motion.,1,http://www.mediafire.com/?zikwi8wh3a7o2cc,,"Displacement, Velocity and Acceleration",Kinematics,Kinematics,Physics
361,Displacement,"In Kinematics, we often talk about an object moving from one place or another. The distance in a specified direction from a reference point is known as displacement, which will be covered in this checkpoint.",openlectures,http://youtu.be/S-A9w5O0n4Y,"Understand the definition of displacement, and the difference between it and distance.",How is displacement different from distance?,Recall their definitions.,2,http://www.mediafire.com/?865d3zjsvjp8d4z,,"Displacement, Velocity and Acceleration",Kinematics,Kinematics,Physics
362,Velocity,"We often study the change of displacement over time. This change is called velocity, as we will discuss in this checkpoint.",openlectures,http://youtu.be/dzPfn1nqm9A,"Understand the definition of velocity, its relation with displacement, and difference between it and speed",What is velocity? ,"In velocity, what are we looking at that changes with time? ",3,http://www.mediafire.com/?vajppfnek2h4fd1,,"Displacement, Velocity and Acceleration",Kinematics,Kinematics,Physics
363,Acceleration,"Similarly, we also look at the change of velocity over time. This is called acceleration; find out more in this checkpoint.",openlectures,http://youtu.be/4okCfTOE0jI,Understand the definition of acceleration and its relation with velocity,What is acceleration? ,"In acceleration, what are we looking at that changes with time? ",4,http://www.mediafire.com/?q9648dia5m7w0rw,,"Displacement, Velocity and Acceleration",Kinematics,Kinematics,Physics
364,"Relationship between s, v, a, and t","Now that we have covered the three main terms in kinematics, how are they related to each other? Start drawing the graphs and find out in this checkpoint.",openlectures,http://youtu.be/Q_9qr1eqch4,"Recognize the relationships between s, v, a and t based on the respective graphs",What can I find the values of s and a from a v-t graph? ,Recall the definition of v and a. ,5,http://www.mediafire.com/?3lda4m7nrqc45oa,,"Displacement, Velocity and Acceleration",Kinematics,Kinematics,Physics
365,The Bouncing Ball,"Now that we have understood the relationships, let's use these concepts to study the curious case of the bouncing ball!",openlectures,http://youtu.be/yNSDXj03pVA,"Understand the relationship between s, v, a and t using the example of a bouncing ball","What do the s/t, v/t, and a/t graphs look like for a bouncing ball?",Find a ball near you and bounce it while you ponder the mysteries of the universe!,6,http://www.mediafire.com/?5umq4h85h8azebf,,"Displacement, Velocity and Acceleration",Kinematics,Kinematics,Physics
